f_number;thm_prm;feature;importance
16607;prm;k9_subset_1-k2_pre_topc;525
9238;thm;k4_relat_1;524
11768;prm;v9_lattices-V;523
15051;prm;v1_funct_1(k2_funct_1(A));523
296;thm;r4_wellord1(A,A);522
163;thm;k5_setfam_1-k7_setfam_1;522
283;thm;r2_hidden(A,k1_ordinal1(A));521
11327;prm;k3_subset_1(A,k3_subset_1(A,A));520
7250;thm;=-k5_xboole_0;520
10303;prm;=-k3_lattices;518
4118;thm;k2_xboole_0-k3_enumset1;518
4065;thm;k3_orders_2;516
220;thm;r3_xboole_0-V;516
5013;thm;r1_tarski(k2_relat_1(A),A);515
19279;prm;=-k4_subset_1;514
4617;thm;v1_subset_1-V;514
14252;prm;k12_lattice3-V;513
162;thm;r1_tarski(k1_setfam_1(A),A);512
15311;prm;k6_tmap_1;512
445;thm;=(A,k1_ordinal1(A));512
3104;thm;=(k8_relat_1(A,k8_relat_1(A,A)),k8_relat_1(A,A));512
14530;prm;r3_wellord1(A,A,A);511
518;thm;r1_tarski(k5_relat_1(A,A),k5_relat_1(A,A));509
2351;thm;r1_tarski-k8_relat_1;509
7733;thm;=(k7_filter_0(A,A,A),k7_filter_0(A,A,A));508
14888;prm;k2_tmap_1(A,A,A,A);507
1942;thm;=(k1_relat_1(A),A);507
15868;prm;l3_lattices-V;507
20455;prm;k2_xboole_0-k2_enumset1;506
3692;thm;v4_lattice3-V;505
73;thm;k1_relset_1-V;504
2021;thm;r1_setfam_1(A,k1_xboole_0);504
1536;thm;m1_subset_1(k2_funct_1(A),k1_zfmisc_1(k2_zfmisc_1(u1_struct_0(A),u1_struct_0(A))));503
95;thm;m1_subset_1(k5_relset_1(A,A,A,A),k1_zfmisc_1(k2_zfmisc_1(A,A)));502
4534;thm;r1_tarski(k2_tops_1(A,A),A);501
16151;prm;v1_xboole_0-k1_xboole_0;501
12524;prm;v1_partfun1-V;501
16211;prm;k7_subset_1(A,A,A);500
3493;thm;=(A,k4_mcart_1(A,A,A,A));500
15385;prm;k11_mcart_1-V;500
4890;thm;=(k7_relat_1(A,A),A);499
18666;prm;=(A,k4_xboole_0(A,A));499
8389;thm;r1_tarski(A,k3_xboole_0(A,A));498
8896;thm;k2_xboole_0-k2_tarski;498
1772;thm;r1_tarski(A,k1_enumset1(A,A,A));497
12567;prm;k4_mcart_1(A,A,A,A);496
17224;prm;=(A,k10_lattice3(A,A,A));495
19171;prm;=(k2_relset_1(A,A,A),A);495
827;thm;r1_tarski-k1_funct_2;494
7954;thm;=(A,k1_mcart_1(A));494
8632;thm;r1_tarski-k1_xboole_0;494
7361;thm;r1_tarski(k1_tarski(A),k2_tarski(A,A));493
3866;thm;k3_partfun1(A,A,A);492
124;thm;k3_xboole_0-k2_zfmisc_1;492
16931;prm;k2_xboole_0-k4_xboole_0;492
10355;prm;r2_xboole_0;490
18801;prm;=(A,k2_yellow_0(A,A));489
10612;prm;a_3_0_waybel_0-V;487
19718;prm;=(A,k5_xboole_0(A,A));487
4113;thm;=(k1_tarski(A),k2_tarski(A,A));487
2447;thm;k7_relat_1(A,k3_xboole_0(A,A));486
7468;thm;r1_tarski(k3_tarski(A),A);486
11539;prm;m2_filter_1-V;483
1232;thm;k9_yellow_6-V;482
8661;thm;=-k1_zfmisc_1;481
12391;prm;k6_partfun1;481
245;thm;r1_tarski(k4_xboole_0(A,A),A);478
13842;prm;r1_waybel_0-V;477
11893;prm;k5_partfun1-V;477
16907;prm;=-k2_struct_0;475
344;thm;r1_lattice3(A,k2_tarski(A,A),A);475
6758;thm;=(A,k2_enumset1(A,A,A,A));475
17320;prm;=-k1_xboole_0;474
